PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DFT_YR,DFT_RND,DFT_NUM
Glenn Robinson III,DET,25,6 6,222,Michigan,USA,2014,2,40
Goran Dragic,MIA,33,6 3,190,None,Slovenia,2008,2,45
Gordon Hayward,BOS,29,6 8,225,Butler,USA,2010,1,9
Gorgui Dieng,MIN,29,6 11,252,Louisville,Senegal,2013,1,21
Grayson Allen,UTA,23,6 5,198,Duke University,USA,2018,1,21
Greg Monroe,PHI,29,6 11,265,Georgetown,USA,2010,1,7
Guerschon Yabusele,BOS,23,6 8,260,None,France,2016,1,16
Hamidou Diallo,OKC,20,6 5,198,University of Kentucky,USA,2018,2,45
Harrison Barnes,SAC,27,6 8,225,North Carolina,USA,2012,1,7
Harry Giles III,SAC,21,6 10,240,Duke,USA,2017,1,20
Hassan Whiteside,MIA,30,7 1,265,Marshall,USA,2010,2,33
Haywood Highsmith,PHI,22,6 7,220,None,USA,Undrafted,Undrafted,Undrafted
Henry Ellenson,NYK,22,6 11,245,Marquette,USA,2016,1,18
Ian Clark,NOP,28,6 3,175,Belmont,USA,Undrafted,Undrafted,Undrafted
Ian Mahinmi,WAS,32,6 11,262,None,France,2005,1,28
Ike Anigbogu,IND,20,6 10,250,California-Los Angeles,USA,2017,2,47
Iman Shumpert,HOU,29,6 5,215,Georgia Tech,USA,2011,1,17
Isaac Bonga,LAL,19,6 8,180,None,Germany,2018,2,39
Isaac Humphries,ATL,21,7 1,260,Kentucky,Australia,Undrafted,Undrafted,Undrafted
Isaiah Briscoe,ORL,23,6 3,215,None,USA,Undrafted,Undrafted,Undrafted
Isaiah Canaan,MIL,28,6 1,200,Murray State,USA,2013,2,34
Isaiah Hartenstein,HOU,21,7 1,249,None,Germany,2017,2,43
Isaiah Hicks,NYK,24,6 9,230,North Carolina,USA,Undrafted,Undrafted,Undrafted
Isaiah Thomas,DEN,30,5 9,185,Washington,USA,2011,2,60
Ish Smith,DET,30,6 1,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted
Ivan Rabb,MEM,22,6 10,220,"University of California, Berkeley",USA,2017,2,35
Ivica Zubac,LAC,22,7 1,240,None,Croatia,2016,2,32
J.J. Barea,DAL,35,6 1,185,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted
J.P. Macura,CHA,24,6 5,205,Xavier University,USA,Undrafted,Undrafted,Undrafted
JJ Redick,PHI,35,6 4,200,Duke,USA,2006,1,11
JR Smith,CLE,33,6 6,225,None,USA,2004,1,18
JaKarr Sampson,CHI,26,6 9,215,"St. John's, N.Y.",USA,Undrafted,Undrafted,Undrafted
JaMychal Green,LAC,29,6 9,227,Alabama,USA,Undrafted,Undrafted,Undrafted
JaVale McGee,LAL,31,7 1,270,Nevada-Reno,USA,2008,1,18
Jabari Parker,WAS,24,6 8,245,Duke,USA,2014,1,2
Jacob Evans,GSW,22,6 6,210,University of Cincinnati,USA,2018,1,28
Jae Crowder,UTA,28,6 6,235,Marquette,USA,2012,2,34
Jahlil Okafor,NOP,23,6 11,275,Duke,USA,2015,1,3
Jake Layman,POR,25,6 9,215,Maryland,USA,2016,2,47
Jakob Poeltl,SAS,23,7 1,230,Utah,Austria,2016,1,9
Jalen Brunson,DAL,22,6 3,190,Villanova University,USA,2018,2,33
Jalen Jones,CLE,26,6 7,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted
Jamal Crawford,PHX,39,6 5,185,Michigan,USA,2000,1,8
Jamal Murray,DEN,22,6 4,207,Kentucky,Canada,2016,1,7
James Ennis III,PHI,28,6 7,210,Cal State-Long Beach,USA,2013,2,50
James Harden,HOU,29,6 5,220,Arizona State,USA,2009,1,3
James Johnson,MIA,32,6 8,240,Wake Forest,USA,2009,1,16
James Nunnally,HOU,28,6 7,208,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted
Jared Dudley,BKN,33,6 7,237,Boston College,USA,2007,1,22
Jared Terrell,MIN,24,6 3,227,None,USA,Undrafted,Undrafted,Undrafted
Jarell Martin,ORL,25,6 10,239,Louisiana State,USA,2015,1,25
Jaren Jackson Jr.,MEM,19,6 11,242,Michigan State University,USA,2018,1,4
Jaron Blossomgame,CLE,25,6 8,220,Clemson,USA,2017,2,59
Jarred Vanderbilt,DEN,20,6 9,214,University of Kentucky,USA,2018,2,41
Jarrett Allen,BKN,21,6 11,237,Texas,USA,2017,1,22
Jason Smith,NOP,33,7 1,240,Colorado State,USA,2007,1,20
Jawun Evans,OKC,22,6 1,190,Oklahoma State,USA,2017,2,39
Jaylen Adams,ATL,23,6 2,190,None,USA,Undrafted,Undrafted,Undrafted
Jaylen Brown,BOS,22,6 7,220,California,USA,2016,1,3
Jaylen Morris,MIL,23,6 5,185,Molloy,USA,Undrafted,Undrafted,Undrafted
Jayson Tatum,BOS,21,6 8,208,Duke,USA,2017,1,3
Jeff Green,WAS,32,6 9,235,Georgetown,USA,2007,1,5
Jeff Teague,MIN,31,6 2,195,Wake Forest,USA,2009,1,19
Jemerrio Jones,LAL,24,6 5,174,None,USA,Undrafted,Undrafted,Undrafted
Jerami Grant,OKC,25,6 9,220,Syracuse,USA,2014,2,39
Jeremy Lamb,CHA,27,6 5,185,Connecticut,USA,2012,1,12
Jeremy Lin,TOR,30,6 3,200,Harvard,USA,Undrafted,Undrafted,Undrafted
Jerian Grant,ORL,26,6 4,205,Notre Dame,USA,2015,1,19
Jerome Robinson,LAC,22,6 5,190,Boston College,USA,2018,1,13
Jerryd Bayless,MIN,30,6 3,200,Arizona,USA,2008,1,11
Jevon Carter,MEM,23,6 2,196,West Virginia University,USA,2018,2,32
Jimmer Fredette,PHX,30,6 2,195,Brigham Young,USA,2011,1,10
Jimmy Butler,PHI,29,6 8,232,Marquette,USA,2011,1,30
Joakim Noah,MEM,34,6 11,230,Florida,USA,2007,1,9
Jodie Meeks,TOR,31,6 4,210,Kentucky,USA,2009,2,41
Joe Chealey,CHA,23,6 3,190,College of Charleston,USA,Undrafted,Undrafted,Undrafted
Joe Harris,BKN,27,6 6,218,Virginia,USA,2014,2,33
